menu,description,menu-img-link,tag,price
สมูทตี้เคลกล้วยหอมนมสด,ถ้าชอบสมูทตี้เคลกล้วยหอมที่มีรสหวานต้องลองแก้วนี้,https://img.wongnai.com/p/256x256/2023/10/09/054d564682264df29b5733d518d63ad2.jpg  ,smoothie,
ออมเล็ตทูน่าแซนวิช,ขนมปังย่างเนยสอดไส้ทูน่าห่อไข่หอมๆ,https://img.wongnai.com/p/256x256/2023/07/20/78f55c55c6f44ce7adbda986b0010f51.jpg  ,sandwich,
คลับแซนวิช,แซนวิชไส้แน่นๆ มีทั้งไข่ แฮม ชีส เบค่อน อิ่มคุ้มแน่นอน,https://img.wongnai.com/p/256x256/2022/10/13/08e83bab85a541fb913db23e6c48f965.jpg  ,sandwich,
สลัดแร็ปอกไก่พริกไทยดำ,สลัดรวม (สลัด มะเขือเทศ แตงกวา กะหล่ำปลีม่วง แครอท) ห่อมาในแผ่นแป้งตอติญ่าสอดไส้อกไก่ย่างพริกไทยดำราดน้ำสลัดโฮมเมด,,sandwich,
ไข่กระทะ+ขนมปังญวน,ไข่กระทะร้อนๆเสิร์ฟพร้อมขนมปังญวนกรอบนอกนุ่มใน,https://img.wongnai.com/p/256x256/2022/02/06/0475c642e5ff478b8f4f5d7a97018e6f.jpg  ,breakfast,
แซนวิชไข่เกาหลี+ลาเต้เย็น,เซตอาหารเช้าสุดคุ้ม แซนวิชไข่เกาหลีและกาแฟลาเต้เย็น,https://img.wongnai.com/p/256x256/2022/02/06/b2b405bd628940c7aaba9ffc14b687f5.jpg  ,sandwich,
เบรคฟาสต์แร็ป,อาหารเช้าครบ 5 หมู่ ห่อด้วยแผ่นตอติญ่ากรอบๆ,https://img.wongnai.com/p/256x256/2021/06/24/bed4fdd79be441ce9d204c51a6829510.jpg  ,sandwich,
ข้าวจี่ปาเต้ลาว,ขนมปังญวนสอดไส้ตับบดสูตรโฮมเมท ผักดอง หมูยอ หมูแดง และผัก ราดซอสรสกลมกล่อม,https://img.wongnai.com/p/256x256/2022/12/15/afa03db8ccba4eb18e9d7cf86849654a.jpg  ,sandwich,
ลาเต้งาดำเย็น,กาแฟใส่นมถั่วเหลืองงาดำ,,coffee,
อเมริกาโน่เลม่อน,กาแฟอเมริกาโน่เสิร์ฟพร้อมเลม่อนสด ให้รสชาติเปรี้ยวสดชื่น,,coffee,
